organization,name,password_category,username,password,url,notes
MyMSP,Automate Server,,.\PRONOC,TempPlacementPW,,Server Name: <servername>
MyMSP,Control Server,,.\PRONOC,TempPlacementPW,,Server Name: <servername>
MyMSP,Automate Web Portal - <CLIENTNAME>,,PRONOC,TempPlacementPW,https://cwa.mymsp.com/automate,
MyMSP,Connectwise Home - SSO (Support),,PRONOC@mymsp.com,TempPlacementPW,,
MyMSP,Control Web Portal,,PRONOC,TempPlacementPW,https://control.mymsp.com:8040,
MyMSP,CW Manage Portal,,PRONOC,TempPlacementPW,https://na.myconnectwise.net,
MyMSP,<CLIENTNAME> Email Mailbox,,PRONOC@mymsp.com,TempPlacementPW,https://www.office.com/?auth=2&home=1,
MyMSP,<CLIENTNAME> Backup Portal,,PRONOC,TempPlacementPW,https://shadowcontrol.mymsp.com,
MyMSP,<CLIENTNAME> Documentation Portal,,PRONOC,TempPlacementPW,https://mymsp.itglue.com,
MyMSP,<CLIENTNAME> Domain Admin Account,,PRONOC,TempPlacementPW,,Excluded Clients:
